,SubjectID,StimulusType,response,RT
89,1003,1,1,291
90,1003,1,1,376
91,1003,1,1,324
92,1003,1,1,475
93,1003,1,1,425
94,1003,1,1,308
95,1003,1,1,309
96,1003,1,1,294
97,1003,1,1,291
98,1003,1,1,242
99,1003,0,0,0
0,1004,1,1,558
1,1004,1,1,370
2,1004,1,1,339
3,1004,1,1,373
4,1004,1,1,410
5,1004,0,0,0
6,1004,1,1,491
7,1004,0,0,0
8,1004,1,1,507
9,1004,0,0,0
10,1004,1,1,390
11,1004,1,1,322
12,1004,1,1,375
13,1004,1,1,338
14,1004,1,1,474
15,1004,1,1,322
16,1004,1,1,442
17,1004,1,1,422
18,1004,1,1,526
19,1004,1,1,358
20,1004,1,1,404
21,1004,1,1,357
22,1004,1,1,339
23,1004,1,1,405
24,1004,1,1,439
25,1004,1,1,368
26,1004,1,1,320
27,1004,0,0,0
28,1004,0,0,0
29,1004,1,1,424
30,1004,1,1,341
31,1004,0,1,271
32,1004,0,0,0
33,1004,0,0,0
34,1004,1,1,424
35,1004,0,0,0
36,1004,1,1,405
37,1004,0,0,0
38,1004,1,1,373
39,1004,1,1,899
40,1004,1,1,389
41,1004,1,1,408
42,1004,1,1,404
43,1004,0,0,0
44,1004,1,1,489
45,1004,1,1,423
46,1004,0,0,0
47,1004,1,1,356
48,1004,1,1,307
49,1004,1,1,254
50,1004,1,1,287
51,1004,1,1,305
52,1004,1,1,339
53,1004,0,0,0
54,1004,1,1,305
55,1004,1,1,306
56,1004,1,1,304
57,1004,1,1,306
58,1004,0,1,474
59,1004,1,1,337
60,1004,1,1,291
61,1004,1,1,305
62,1004,1,1,356
63,1004,1,1,322
64,1004,1,1,558
65,1004,1,1,391
66,1004,1,1,372
67,1004,1,1,356
68,1004,1,1,340
69,1004,1,1,355
70,1004,1,1,357
71,1004,0,0,0
72,1004,1,1,287
73,1004,1,1,238
74,1004,1,1,322
75,1004,1,1,320
76,1004,1,1,252
77,1004,1,1,302
78,1004,0,0,0
79,1004,1,1,340
80,1004,1,1,372
81,1004,0,0,0
82,1004,1,1,474
83,1004,1,1,322
84,1004,1,1,305
85,1004,1,1,289
86,1004,0,0,0
87,1004,0,0,0
88,1004,1,1,440
89,1004,1,1,438
90,1004,1,1,439
91,1004,0,0,0
92,1004,1,1,271
93,1004,1,1,271
94,1004,1,1,271
95,1004,1,1,288
96,1004,1,1,441
97,1004,1,1,677
98,1004,1,1,492
99,1004,1,1,324
0,1005,1,1,475
1,1005,1,1,337
2,1005,0,0,0
3,1005,1,1,356
4,1005,1,1,340
5,1005,1,1,319
6,1005,1,1,338
7,1005,0,0,0
8,1005,0,1,302
9,1005,1,1,374
10,1005,1,1,322
11,1005,1,1,320
12,1005,1,1,323
13,1005,1,1,305
14,1005,1,1,305
15,1005,1,1,304
16,1005,1,1,318
17,1005,1,1,307
18,1005,1,1,339
19,1005,1,1,323
20,1005,1,1,405
21,1005,1,1,354
22,1005,1,1,236
23,1005,1,1,389
24,1005,0,0,0
25,1005,1,1,511
26,1005,1,1,371
27,1005,1,1,390
28,1005,1,1,323
29,1005,1,1,426
30,1005,1,1,372
31,1005,1,1,358
32,1005,1,1,539
33,1005,1,1,492
34,1005,1,1,304
35,1005,1,1,290
36,1005,0,0,0
37,1005,0,0,0
38,1005,1,1,337
39,1005,1,1,348
40,1005,1,1,333
41,1005,1,1,335
42,1005,1,1,321
43,1005,0,0,0
44,1005,1,1,538
45,1005,1,1,589
46,1005,1,1,558
47,1005,1,1,557
48,1005,0,0,0
49,1005,1,1,389
50,1005,1,1,353
51,1005,1,1,662
52,1005,1,1,304
53,1005,0,0,0
54,1005,1,1,387
55,1005,1,1,307
56,1005,0,0,0
57,1005,0,0,0
58,1005,1,1,474
59,1005,1,1,557
60,1005,1,1,335
61,1005,0,0,0
62,1005,0,0,0
63,1005,1,1,472
64,1005,1,1,388
65,1005,1,1,304
66,1005,1,1,302
67,1005,1,1,306
68,1005,0,0,0
69,1005,1,1,915
70,1005,1,1,304
71,1005,1,1,373
72,1005,1,1,324
73,1005,1,1,324
74,1005,1,1,402
75,1005,1,1,302
76,1005,1,1,338
77,1005,0,1,305
78,1005,0,1,303
79,1005,0,0,0
80,1005,1,1,354
81,1005,1,1,408
82,1005,1,1,322
83,1005,1,1,589
84,1005,1,1,287
85,1005,0,1,119
86,1005,1,1,301
87,1005,1,1,369
88,1005,1,1,372
89,1005,1,1,323
90,1005,1,1,307
91,1005,1,1,339
92,1005,1,1,527
93,1005,1,1,289
94,1005,0,1,319
95,1005,0,0,0
96,1005,1,1,408
97,1005,1,1,423
98,1005,1,1,303
99,1005,1,1,321
0,1006,1,1,406
1,1006,0,0,0
2,1006,1,1,336
3,1006,1,1,403
4,1006,1,1,370
5,1006,0,0,0
6,1006,1,1,300
7,1006,1,1,321
8,1006,0,0,0
9,1006,1,1,284
10,1006,1,1,287
11,1006,1,1,271
12,1006,1,1,456
13,1006,1,1,386
14,1006,1,1,335
15,1006,1,1,318
16,1006,1,1,390
17,1006,1,1,353
18,1006,1,1,371
19,1006,1,1,371
20,1006,1,1,320
21,1006,1,1,351
22,1006,1,1,367
23,1006,1,1,286
24,1006,1,1,338
25,1006,1,1,320
26,1006,1,1,338
27,1006,0,1,286
28,1006,1,1,604
29,1006,1,1,349
30,1006,1,1,353
31,1006,1,1,353
32,1006,1,1,369
33,1006,1,1,440
34,1006,1,1,419
35,1006,1,1,338
36,1006,1,1,323
37,1006,1,1,351
38,1006,1,1,403
39,1006,1,1,570
40,1006,1,1,503
41,1006,0,0,0
42,1006,1,1,389
43,1006,0,0,0
44,1006,1,1,320
45,1006,0,0,0
46,1006,1,1,321
47,1006,1,1,358
48,1006,1,1,357
49,1006,1,1,353
50,1006,0,0,0
51,1006,0,0,0
52,1006,0,0,0
53,1006,1,1,369
54,1006,0,0,0
55,1006,0,0,0
56,1006,1,1,369
57,1006,1,1,472
58,1006,1,1,340
59,1006,1,1,321
60,1006,1,1,373
61,1006,1,1,302
62,1006,1,1,283
63,1006,1,1,84
64,1006,1,1,389
65,1006,1,1,237
66,1006,1,1,270
67,1006,1,1,304
68,1006,1,1,269
69,1006,1,1,202
70,1006,1,1,287
71,1006,1,1,302
72,1006,0,1,254
73,1006,1,1,388
74,1006,1,1,201
75,1006,1,1,222
76,1006,0,0,0
77,1006,1,1,283
78,1006,1,1,332
79,1006,1,1,303
80,1006,0,0,0
81,1006,0,0,0
82,1006,1,1,335
83,1006,1,1,551
84,1006,1,1,353
85,1006,1,1,386
86,1006,0,0,0
87,1006,0,0,0
88,1006,0,0,0
89,1006,1,1,293
90,1006,1,1,340
91,1006,1,1,325
92,1006,0,1,256
93,1006,1,1,446
94,1006,1,1,189
95,1006,1,1,272
96,1006,1,1,327
97,1006,1,1,291
98,1006,1,1,305
99,1006,1,1,323
0,1007,1,1,429
1,1007,1,1,294
2,1007,1,1,341
3,1007,1,1,324
4,1007,0,0,0
5,1007,1,1,340
6,1007,1,1,343
7,1007,1,1,326
8,1007,1,1,325
9,1007,0,0,0
10,1007,1,1,257
11,1007,1,1,361
12,1007,1,1,342
13,1007,1,1,310
14,1007,1,1,326
15,1007,1,1,291
16,1007,1,1,360
