,Task,Time,Performance,Subject
139,Absolute,Infinite,0.5277777777777778,5296
140,Relative,3sec,0.5,5296
141,Relative,Infinite,0.5833333333333334,5296
142,Pointing,3sec,0.3611111111111111,5296
143,Pointing,Infinite,0.6944444444444444,5296
144,Absolute,3sec,0.5277777777777778,9309
145,Absolute,Infinite,0.4722222222222222,9309
146,Relative,3sec,0.4444444444444444,9309
147,Relative,Infinite,0.5833333333333334,9309
148,Pointing,3sec,0.4444444444444444,9309
149,Pointing,Infinite,0.5,9309
150,Absolute,3sec,0.4166666666666667,8610
151,Absolute,Infinite,0.4444444444444444,8610
152,Relative,3sec,0.5277777777777778,8610
153,Relative,Infinite,0.6388888888888888,8610
154,Pointing,3sec,0.5277777777777778,8610
155,Pointing,Infinite,0.4722222222222222,8610
156,Absolute,3sec,0.5833333333333334,8392
157,Absolute,Infinite,0.4444444444444444,8392
158,Relative,3sec,0.4444444444444444,8392
159,Relative,Infinite,0.5277777777777778,8392
160,Pointing,3sec,0.5555555555555556,8392
161,Pointing,Infinite,0.3888888888888889,8392
162,Absolute,3sec,0.5555555555555556,5891
163,Absolute,Infinite,0.4166666666666667,5891
164,Relative,3sec,0.4444444444444444,5891
165,Relative,Infinite,0.5,5891
166,Pointing,3sec,0.5555555555555556,5891
167,Pointing,Infinite,0.4722222222222222,5891
168,Absolute,3sec,0.4444444444444444,4608
169,Absolute,Infinite,0.6111111111111112,4608
170,Relative,3sec,0.5277777777777778,4608
171,Relative,Infinite,0.5277777777777778,4608
172,Pointing,3sec,0.3611111111111111,4608
173,Pointing,Infinite,0.4444444444444444,4608
174,Absolute,3sec,0.3333333333333333,6157
175,Absolute,Infinite,0.3611111111111111,6157
176,Relative,3sec,0.3055555555555556,6157
177,Relative,Infinite,0.5277777777777778,6157
178,Pointing,3sec,0.3333333333333333,6157
179,Pointing,Infinite,0.6666666666666666,6157
180,Absolute,3sec,0.4166666666666667,2325
181,Absolute,Infinite,0.7222222222222222,2325
182,Relative,3sec,0.5833333333333334,2325
183,Relative,Infinite,0.5833333333333334,2325
184,Pointing,3sec,0.4444444444444444,2325
185,Pointing,Infinite,0.6666666666666666,2325
186,Absolute,3sec,0.4444444444444444,4230
187,Absolute,Infinite,0.5,4230
188,Relative,3sec,0.5555555555555556,4230
189,Relative,Infinite,0.4444444444444444,4230
190,Pointing,3sec,0.5833333333333334,4230
191,Pointing,Infinite,0.5833333333333334,4230
192,Absolute,3sec,0.4166666666666667,4742
193,Absolute,Infinite,0.5,4742
194,Relative,3sec,0.4166666666666667,4742
195,Relative,Infinite,0.6944444444444444,4742
196,Pointing,3sec,0.4166666666666667,4742
197,Pointing,Infinite,0.4722222222222222,4742
198,Absolute,3sec,0.4444444444444444,8756
199,Absolute,Infinite,0.5,8756
200,Relative,3sec,0.4722222222222222,8756
201,Relative,Infinite,0.3888888888888889,8756
202,Pointing,3sec,0.4722222222222222,8756
203,Pointing,Infinite,0.5277777777777778,8756
204,Absolute,3sec,0.3888888888888889,4420
205,Absolute,Infinite,0.4166666666666667,4420
206,Relative,3sec,0.5,4420
207,Relative,Infinite,0.5277777777777778,4420
208,Pointing,3sec,0.4166666666666667,4420
209,Pointing,Infinite,0.6388888888888888,4420
210,Absolute,3sec,0.7222222222222222,1217
211,Absolute,Infinite,0.5833333333333334,1217
212,Relative,3sec,0.5,1217
213,Relative,Infinite,0.5555555555555556,1217
214,Pointing,3sec,0.5555555555555556,1217
215,Pointing,Infinite,0.5555555555555556,1217
216,Absolute,3sec,0.5277777777777778,5059
217,Absolute,Infinite,0.6111111111111112,5059
218,Relative,3sec,0.4444444444444444,5059
219,Relative,Infinite,0.4166666666666667,5059
220,Pointing,3sec,0.3888888888888889,5059
221,Pointing,Infinite,0.5555555555555556,5059
222,Absolute,3sec,0.5833333333333334,3574
223,Absolute,Infinite,0.6111111111111112,3574
224,Relative,3sec,0.5277777777777778,3574
225,Relative,Infinite,0.6388888888888888,3574
226,Pointing,3sec,0.5555555555555556,3574
227,Pointing,Infinite,0.5,3574
228,Absolute,3sec,0.4722222222222222,8343
229,Absolute,Infinite,0.5833333333333334,8343
230,Relative,3sec,0.3611111111111111,8343
231,Relative,Infinite,0.5833333333333334,8343
232,Pointing,3sec,0.5,8343
233,Pointing,Infinite,0.5555555555555556,8343
234,Absolute,3sec,0.5,8357
235,Absolute,Infinite,0.4722222222222222,8357
236,Relative,3sec,0.4444444444444444,8357
237,Relative,Infinite,0.5555555555555556,8357
238,Pointing,3sec,0.5277777777777778,8357
239,Pointing,Infinite,0.5833333333333334,8357
240,Absolute,3sec,0.4722222222222222,8169
241,Absolute,Infinite,0.5277777777777778,8169
242,Relative,3sec,0.3888888888888889,8169
243,Relative,Infinite,0.3888888888888889,8169
244,Pointing,3sec,0.5,8169
245,Pointing,Infinite,0.6388888888888888,8169
246,Absolute,3sec,0.3333333333333333,2281
247,Absolute,Infinite,0.5,2281
248,Relative,3sec,0.6388888888888888,2281
249,Relative,Infinite,0.6388888888888888,2281
250,Pointing,3sec,0.5,2281
251,Pointing,Infinite,0.5,2281
252,Absolute,3sec,0.5277777777777778,2256
253,Absolute,Infinite,0.5277777777777778,2256
254,Relative,3sec,0.4166666666666667,2256
255,Relative,Infinite,0.6111111111111112,2256
256,Pointing,3sec,0.4444444444444444,2256
257,Pointing,Infinite,0.5555555555555556,2256
258,Absolute,3sec,0.6111111111111112,8368
259,Absolute,Infinite,0.4444444444444444,8368
260,Relative,3sec,0.6111111111111112,8368
261,Relative,Infinite,0.4166666666666667,8368
262,Pointing,3sec,0.5,8368
263,Pointing,Infinite,0.6944444444444444,8368
