SubjectID,StimulusType,response,RT
01006,1,1,406
01006,0,0,0
01006,1,1,336
01006,1,1,403
01006,1,1,370
01006,0,0,0
01006,1,1,300
01006,1,1,321
01006,0,0,0
01006,1,1,284
01006,1,1,287
01006,1,1,271
01006,1,1,456
01006,1,1,386
01006,1,1,335
01006,1,1,318
01006,1,1,390
01006,1,1,353
01006,1,1,371
01006,1,1,371
01006,1,1,320
01006,1,1,351
01006,1,1,367
01006,1,1,286
01006,1,1,338
01006,1,1,320
01006,1,1,338
01006,0,1,286
01006,1,1,604
01006,1,1,349
01006,1,1,353
01006,1,1,353
01006,1,1,369
01006,1,1,440
01006,1,1,419
01006,1,1,338
01006,1,1,323
01006,1,1,351
01006,1,1,403
01006,1,1,570
01006,1,1,503
01006,0,0,0
01006,1,1,389
01006,0,0,0
01006,1,1,320
01006,0,0,0
01006,1,1,321
01006,1,1,358
01006,1,1,357
01006,1,1,353
01006,0,0,0
01006,0,0,0
01006,0,0,0
01006,1,1,369
01006,0,0,0
01006,0,0,0
01006,1,1,369
01006,1,1,472
01006,1,1,340
01006,1,1,321
01006,1,1,373
01006,1,1,302
01006,1,1,283
01006,1,1,84
01006,1,1,389
01006,1,1,237
01006,1,1,270
01006,1,1,304
01006,1,1,269
01006,1,1,202
01006,1,1,287
01006,1,1,302
01006,0,1,254
01006,1,1,388
01006,1,1,201
01006,1,1,222
01006,0,0,0
01006,1,1,283
01006,1,1,332
01006,1,1,303
01006,0,0,0
01006,0,0,0
01006,1,1,335
01006,1,1,551
01006,1,1,353
01006,1,1,386
01006,0,0,0
01006,0,0,0
01006,0,0,0
01006,1,1,293
01006,1,1,340
01006,1,1,325
01006,0,1,256
01006,1,1,446
01006,1,1,189
01006,1,1,272
01006,1,1,327
01006,1,1,291
01006,1,1,305
01006,1,1,323
