,Subject,Time,Task,ReactionTime,Performance
0,1216.0,3sec,Absolute,1.4144792326035036,0.4838709677419355
1,1216.0,3sec,Pointing,1.3245826496018311,0.3611111111111111
2,1216.0,3sec,Relative,1.1314083872170282,0.3793103448275862
3,1216.0,Infinite,Absolute,1.4144792326035036,0.4838709677419355
4,1216.0,Infinite,Pointing,1.6636407375335696,0.5833333333333334
5,1216.0,Infinite,Relative,2.554126620292665,0.5555555555555556
6,1217.0,3sec,Absolute,1.8101776531764446,0.7428571428571429
7,1217.0,3sec,Pointing,1.877375813892909,0.5714285714285714
8,1217.0,3sec,Relative,1.6739063403185672,0.5294117647058824
9,1217.0,Infinite,Absolute,1.8101776531764446,0.7428571428571429
10,1217.0,Infinite,Pointing,12.059416941234034,0.42857142857142855
11,1217.0,Infinite,Relative,4.226944699006924,0.5588235294117647
12,1385.0,3sec,Absolute,2.1259037942597354,0.5454545454545454
13,1385.0,3sec,Pointing,1.9145520627498624,0.5
14,1385.0,3sec,Relative,2.129072189331055,0.3939393939393939
15,1385.0,Infinite,Absolute,2.1259037942597354,0.5454545454545454
16,1385.0,Infinite,Pointing,2.654322180483076,0.5833333333333334
17,1385.0,Infinite,Relative,1.840847856468625,0.4722222222222222
18,1531.0,3sec,Absolute,1.610232858096853,0.6470588235294118
19,1531.0,3sec,Pointing,0.9068638411435217,0.8181818181818182
20,1531.0,3sec,Relative,1.2602149687315292,0.5263157894736842
21,1531.0,Infinite,Absolute,1.610232858096853,0.6470588235294118
22,1531.0,Infinite,Pointing,1.2086252503924892,0.6111111111111112
23,1531.0,Infinite,Relative,1.6580165293481617,0.4166666666666667
24,1533.0,3sec,Absolute,2.19719359368989,0.5454545454545454
25,1533.0,3sec,Pointing,1.9008937290736607,0.4857142857142857
26,1533.0,3sec,Relative,2.2217587578681206,0.4838709677419355
27,1533.0,Infinite,Absolute,2.19719359368989,0.5454545454545454
28,1533.0,Infinite,Pointing,5.20286845498615,0.6111111111111112
29,1533.0,Infinite,Relative,5.03791806432936,0.6666666666666666
30,1719.0,3sec,Absolute,2.0211047692732382,0.5151515151515151
31,1719.0,3sec,Pointing,2.016419185910906,0.45714285714285713
32,1719.0,3sec,Relative,1.7519673532055278,0.5806451612903226
33,1719.0,Infinite,Absolute,2.0211047692732382,0.5151515151515151
34,1719.0,Infinite,Pointing,2.7860493792427916,0.4444444444444444
35,1719.0,Infinite,Relative,3.0608635279867378,0.3888888888888889
36,1838.0,3sec,Absolute,1.910541951656342,0.4722222222222222
37,1838.0,3sec,Pointing,1.7569005629595587,0.5882352941176471
38,1838.0,3sec,Relative,1.9990124974931998,0.4
39,1838.0,Infinite,Absolute,1.910541951656342,0.4722222222222222
40,1838.0,Infinite,Pointing,3.101100981235504,0.5555555555555556
41,1838.0,Infinite,Relative,3.1052537428008193,0.4722222222222222
42,2007.0,3sec,Absolute,2.229546294492834,0.5882352941176471
43,2007.0,3sec,Pointing,1.8651437128291406,0.5294117647058824
44,2007.0,3sec,Relative,2.0344349706874176,0.5882352941176471
45,2007.0,Infinite,Absolute,2.229546294492834,0.5882352941176471
46,2007.0,Infinite,Pointing,6.078444331032889,0.6
47,2007.0,Infinite,Relative,3.7887379792001505,0.5833333333333334
48,2020.0,3sec,Absolute,1.921925991773606,0.53125
49,2020.0,3sec,Pointing,2.17578548769797,0.5483870967741935
50,2020.0,3sec,Relative,2.0900950295584546,0.5428571428571428
51,2020.0,Infinite,Absolute,1.921925991773606,0.53125
52,2020.0,Infinite,Pointing,4.336991839938694,0.5
53,2020.0,Infinite,Relative,1.76809279786216,0.4722222222222222
54,2082.0,3sec,Absolute,1.807569563388824,0.8888888888888888
55,2082.0,3sec,Pointing,1.8735776212480333,0.5833333333333334
56,2082.0,3sec,Relative,1.730827583207025,0.8055555555555556
57,2082.0,Infinite,Absolute,1.807569563388824,0.8888888888888888
58,2082.0,Infinite,Pointing,9.184232768558324,0.8095238095238095
59,2082.0,Infinite,Relative,5.168626349547815,0.896551724137931
60,2096.0,3sec,Absolute,1.7549825532095782,0.5428571428571428
61,2096.0,3sec,Pointing,1.4578423698743184,0.3333333333333333
62,2096.0,3sec,Relative,1.4530961092780612,0.5588235294117647
63,2096.0,Infinite,Absolute,1.7549825532095782,0.5428571428571428
64,2096.0,Infinite,Pointing,2.066056748231252,0.6111111111111112
65,2096.0,Infinite,Relative,2.874426828490363,0.6111111111111112
66,2256.0,3sec,Absolute,2.070289325714112,0.5428571428571428
67,2256.0,3sec,Pointing,2.0191511358533583,0.45714285714285713
68,2256.0,3sec,Relative,1.6920604297092992,0.42857142857142855
69,2256.0,Infinite,Absolute,2.070289325714112,0.5428571428571428
70,2256.0,Infinite,Pointing,2.0361168384551984,0.5555555555555556
71,2256.0,Infinite,Relative,1.4857862326833937,0.6111111111111112
72,2281.0,3sec,Absolute,2.361304712295532,0.34285714285714286
73,2281.0,3sec,Pointing,1.8420110110080614,0.5151515151515151
74,2281.0,3sec,Relative,1.7536494334538784,0.6388888888888888
75,2281.0,Infinite,Absolute,2.361304712295532,0.34285714285714286
76,2281.0,Infinite,Pointing,1.751051253742642,0.5
77,2281.0,Infinite,Relative,3.5341616206698943,0.6388888888888888
78,2294.0,3sec,Absolute,1.4709103878806624,0.5588235294117647
79,2294.0,3sec,Pointing,1.7678186280386774,0.5428571428571428
80,2294.0,3sec,Relative,1.745578250577373,0.3548387096774194
81,2294.0,Infinite,Absolute,1.4709103878806624,0.5588235294117647
82,2294.0,Infinite,Pointing,3.9955708231244778,0.37142857142857144
83,2294.0,Infinite,Relative,3.329087111685012,0.5277777777777778
84,2299.0,3sec,Absolute,2.1884155965620473,0.4838709677419355
85,2299.0,3sec,Pointing,1.8317202227456233,0.4857142857142857
86,2299.0,3sec,Relative,1.6886202030711708,0.7222222222222222
87,2299.0,Infinite,Absolute,2.1884155965620473,0.4838709677419355
88,2299.0,Infinite,Pointing,5.9290247031620575,0.5428571428571428
89,2299.0,Infinite,Relative,3.2480079597897,0.5833333333333334
90,2325.0,3sec,Absolute,2.324627968572801,0.4838709677419355
91,2325.0,3sec,Pointing,2.1073704138398175,0.46875
92,2325.0,3sec,Relative,2.0264411603703216,0.5882352941176471
93,2325.0,Infinite,Absolute,2.324627968572801,0.4838709677419355
94,2325.0,Infinite,Pointing,5.561627458123601,0.6764705882352942
95,2325.0,Infinite,Relative,4.7954037117235595,0.5454545454545454
96,2557.0,3sec,Absolute,2.190500676631927,0.53125
97,2557.0,3sec,Pointing,1.9248638008580061,0.36363636363636365
98,2557.0,3sec,Relative,1.9256559610366826,0.7058823529411765
99,2557.0,Infinite,Absolute,2.190500676631927,0.53125
100,2557.0,Infinite,Pointing,5.286349626148446,0.6176470588235294
101,2557.0,Infinite,Relative,3.913344124952952,0.5277777777777778
102,2592.0,3sec,Absolute,1.7564904144832072,0.4857142857142857
103,2592.0,3sec,Pointing,2.0007276462786128,0.6666666666666666
104,2592.0,3sec,Relative,2.1886174440383908,0.5333333333333333
105,2592.0,Infinite,Absolute,1.7564904144832072,0.4857142857142857
106,2592.0,Infinite,Pointing,6.186321374348234,0.5142857142857142
107,2592.0,Infinite,Relative,5.365624427795408,0.5142857142857142
108,2650.0,3sec,Absolute,2.0570422410964975,0.5714285714285714
109,2650.0,3sec,Pointing,1.7704058929725917,0.48148148148148145
110,2650.0,3sec,Relative,1.8317914009094247,0.47058823529411764
111,2650.0,Infinite,Absolute,2.0570422410964975,0.5714285714285714
112,2650.0,Infinite,Pointing,3.292948451307085,0.5
113,2650.0,Infinite,Relative,1.8966134124332004,0.5
114,2739.0,3sec,Absolute,2.0654386430978784,0.5
115,2739.0,3sec,Pointing,1.8552749974387042,0.6
116,2739.0,3sec,Relative,2.0905089154839516,0.625
117,2739.0,Infinite,Absolute,2.0654386430978784,0.5
118,2739.0,Infinite,Pointing,4.864549206362831,0.6111111111111112
119,2739.0,Infinite,Relative,4.023163824370413,0.6666666666666666
120,2830.0,3sec,Absolute,2.21916284981896,0.5588235294117647
121,2830.0,3sec,Pointing,1.794099092483521,0.375
122,2830.0,3sec,Relative,1.8633794574176559,0.4411764705882353
123,2830.0,Infinite,Absolute,2.21916284981896,0.5588235294117647
124,2830.0,Infinite,Pointing,4.790228782381332,0.5714285714285714
125,2830.0,Infinite,Relative,3.0046860906812882,0.5555555555555556
126,3005.0,3sec,Absolute,1.9765124881968783,0.5588235294117647
127,3005.0,3sec,Pointing,1.8721585634982945,0.3939393939393939
128,3005.0,3sec,Relative,1.3978070318698883,0.53125
129,3005.0,Infinite,Absolute,1.9765124881968783,0.5588235294117647
130,3005.0,Infinite,Pointing,3.034209132194519,0.6388888888888888
131,3005.0,Infinite,Relative,3.0962823894288807,0.5277777777777778
132,3030.0,3sec,Absolute,1.979427255902972,0.7714285714285715
133,3030.0,3sec,Pointing,1.8979474817003519,0.6857142857142857
134,3030.0,3sec,Relative,1.7645214421408526,0.6285714285714286
135,3030.0,Infinite,Absolute,1.979427255902972,0.7714285714285715
136,3030.0,Infinite,Pointing,6.860824202046254,0.8181818181818182
137,3030.0,Infinite,Relative,4.680647988473217,0.8064516129032258
138,3282.0,3sec,Absolute,1.6947765615251338,0.7777777777777778
139,3282.0,3sec,Pointing,1.9308943152427678,0.6111111111111112
140,3282.0,3sec,Relative,1.5505931576093037,0.8055555555555556
141,3282.0,Infinite,Absolute,1.6947765615251338,0.7777777777777778
142,3282.0,Infinite,Pointing,8.297169997141907,0.6153846153846154
143,3282.0,Infinite,Relative,5.173642694950102,0.8125
144,3283.0,3sec,Absolute,1.708252205993189,0.48484848484848486
145,3283.0,3sec,Pointing,1.3502827644348145,0.5142857142857142
146,3283.0,3sec,Relative,1.3854121344430104,0.37142857142857144
