SubjectID,StimulusType,response,RT
09007,1,1,405
09007,1,1,390
09007,1,1,269
09007,1,1,315
09007,0,0,0
09007,1,1,285
09007,1,1,283
09007,1,1,320
09007,1,1,349
09007,1,1,285
09007,1,1,265
09007,0,0,0
09007,1,1,333
09007,1,1,299
09007,1,1,286
09007,0,0,0
09007,1,1,298
09007,1,1,298
09007,1,1,331
09007,1,1,334
09007,1,1,283
09007,1,1,318
09007,1,1,333
09007,1,1,335
09007,1,1,314
09007,1,1,334
09007,1,1,348
09007,1,1,368
09007,1,1,333
09007,0,0,0
09007,1,1,334
09007,1,1,285
09007,1,1,300
09007,1,1,318
09007,1,1,250
09007,1,1,298
09007,1,1,282
09007,1,1,301
09007,1,1,284
09007,1,1,255
09007,1,1,289
09007,1,1,285
09007,1,1,250
09007,1,1,252
09007,1,1,302
09007,0,0,0
09007,1,1,283
09007,1,1,267
09007,0,1,234
09007,1,1,301
09007,1,1,350
09007,1,1,367
09007,1,1,316
09007,1,1,284
09007,0,0,0
09007,1,1,305
09007,1,1,305
09007,1,1,305
09007,1,1,306
09007,1,1,323
09007,0,0,0
09007,1,1,300
09007,1,1,284
09007,1,1,302
09007,1,1,284
09007,1,1,301
09007,1,1,281
09007,1,1,317
09007,1,1,366
09007,1,1,464
09007,0,0,0
09007,1,1,285
09007,0,0,0
09007,1,1,266
09007,1,1,340
09007,0,0,0
09007,0,0,0
09007,1,1,366
09007,0,0,0
09007,1,1,335
09007,1,1,337
09007,1,1,350
09007,0,0,0
09007,1,1,303
09007,0,0,0
09007,1,1,266
09007,1,1,302
09007,1,1,266
09007,0,0,0
09007,1,1,249
09007,1,1,265
09007,1,1,297
09007,0,0,0
09007,1,1,335
09007,1,1,268
09007,0,0,0
09007,1,1,298
09007,1,1,300
09007,0,0,0
09007,0,0,0
