SubjectID,StimulusType,response,RT
09009,0,0,0
09009,1,1,597
09009,1,1,447
09009,1,1,436
09009,1,1,404
09009,1,1,465
09009,1,1,454
09009,1,1,434
09009,1,1,449
09009,1,1,442
09009,1,1,432
09009,1,1,467
09009,1,1,465
09009,0,0,0
09009,0,0,0
09009,1,1,617
09009,1,1,418
09009,0,0,0
09009,1,1,446
09009,1,1,388
09009,0,0,0
09009,1,1,414
09009,1,1,385
09009,1,1,418
09009,1,1,398
09009,1,1,438
09009,1,1,382
09009,1,1,386
09009,1,1,367
09009,0,0,0
09009,1,1,365
09009,1,1,405
09009,1,1,482
09009,1,1,402
09009,1,1,380
09009,1,1,419
09009,1,1,447
09009,1,1,421
09009,1,1,399
09009,1,1,386
09009,1,1,451
09009,1,1,416
09009,1,1,449
09009,1,1,466
09009,1,1,383
09009,1,1,434
09009,1,1,404
09009,1,1,385
09009,1,1,400
09009,1,1,367
09009,1,1,385
09009,1,1,401
09009,0,0,0
09009,0,0,0
09009,1,1,417
09009,1,1,480
09009,1,1,385
09009,1,1,382
09009,0,0,0
09009,0,0,0
09009,1,1,501
09009,1,1,432
09009,1,1,401
09009,1,1,567
09009,1,1,430
09009,1,1,451
09009,1,1,452
09009,1,1,453
09009,1,1,432
09009,1,1,439
09009,1,1,520
09009,1,1,520
09009,0,0,0
09009,1,1,516
09009,1,1,504
09009,0,0,0
09009,0,0,0
09009,1,1,364
09009,0,0,0
09009,0,0,0
09009,1,1,436
09009,1,1,498
09009,0,0,0
09009,1,1,486
09009,0,0,0
09009,1,1,483
09009,1,1,527
09009,0,0,0
09009,1,1,448
09009,1,1,532
09009,1,1,550
09009,1,1,434
09009,1,1,472
09009,1,1,497
09009,1,1,401
09009,1,1,367
09009,0,0,0
09009,0,0,0
09009,1,1,383
09009,1,1,420
