SubjectID,StimulusType,response,RT
11006,1,1,840
11006,1,1,500
11006,1,1,286
11006,0,1,222
11006,1,1,522
11006,1,1,304
11006,1,1,235
11006,1,1,85
11006,1,1,69
11006,1,1,269
11006,1,1,237
11006,1,1,188
11006,1,1,270
11006,1,1,238
11006,1,1,222
11006,1,1,237
11006,1,1,248
11006,0,1,220
11006,1,0,0
11006,1,1,352
11006,1,1,955
11006,0,0,0
11006,1,0,0
11006,1,1,600
11006,1,1,304
11006,1,1,565
11006,1,1,418
11006,1,1,403
11006,1,1,484
11006,1,1,454
11006,1,1,399
11006,1,1,470
11006,0,0,0
11006,1,1,402
11006,1,1,466
11006,1,1,390
11006,1,1,314
11006,1,1,354
11006,0,0,0
11006,0,1,488
11006,0,0,0
11006,1,1,553
11006,0,0,0
11006,1,1,421
11006,0,0,0
11006,1,1,519
11006,1,1,387
11006,0,0,0
11006,1,1,520
11006,1,1,467
11006,1,1,570
11006,0,0,0
11006,1,1,724
11006,0,0,0
11006,1,1,419
11006,1,1,438
11006,1,1,375
11006,1,1,616
11006,1,1,504
11006,1,1,372
11006,1,1,386
11006,1,1,305
11006,1,1,336
11006,1,1,384
11006,1,1,367
11006,1,1,284
11006,0,0,0
11006,1,1,420
11006,1,1,334
11006,0,0,0
11006,1,1,403
11006,1,1,490
11006,1,1,653
11006,1,1,424
11006,1,1,468
11006,0,0,0
11006,1,1,402
11006,0,0,0
11006,0,0,0
11006,1,1,554
11006,1,1,761
11006,1,1,283
11006,1,1,350
11006,1,1,336
11006,0,1,354
11006,1,1,671
11006,1,1,704
11006,0,0,0
11006,1,1,451
11006,1,1,451
11006,1,1,398
11006,1,1,551
11006,1,1,538
11006,0,0,0
11006,1,1,404
11006,1,1,419
11006,1,1,353
11006,1,1,365
11006,1,1,404
11006,1,1,453
