SubjectID,StimulusType,response,RT
03003,1,1,427
03003,1,1,289
03003,1,1,267
03003,1,1,408
03003,1,1,388
03003,1,1,369
03003,0,0,0
03003,0,0,0
03003,1,1,420
03003,1,1,389
03003,1,1,358
03003,1,1,304
03003,0,0,0
03003,1,1,267
03003,1,1,238
03003,0,1,288
03003,1,1,366
03003,1,1,389
03003,0,0,0
03003,0,0,0
03003,1,1,371
03003,1,1,322
03003,1,1,337
03003,0,1,307
03003,1,1,370
03003,1,1,427
03003,0,0,0
03003,1,1,288
03003,1,1,459
03003,1,1,341
03003,1,1,424
03003,1,1,353
03003,1,1,354
03003,0,0,0
03003,1,1,354
03003,1,1,323
03003,1,1,287
03003,0,1,304
03003,1,1,338
03003,1,1,308
03003,1,1,368
03003,1,1,338
03003,1,1,359
03003,1,1,336
03003,1,1,356
03003,1,1,374
03003,0,0,0
03003,1,1,354
03003,1,1,337
03003,1,1,333
03003,1,1,321
03003,1,1,377
03003,0,0,0
03003,1,1,354
03003,1,1,341
03003,1,1,287
03003,1,1,340
03003,1,1,355
03003,1,1,343
03003,1,1,355
03003,1,1,405
03003,1,1,403
03003,0,0,0
03003,0,0,0
03003,1,1,546
03003,1,1,337
03003,1,1,337
03003,0,0,0
03003,1,1,321
03003,1,1,357
03003,1,1,339
03003,1,1,392
03003,1,1,396
03003,0,0,0
03003,1,1,322
03003,1,1,290
03003,1,1,391
03003,1,1,352
03003,0,0,0
03003,1,1,371
03003,1,1,326
03003,1,1,356
03003,1,1,374
03003,0,0,0
03003,0,0,0
03003,1,1,389
03003,1,1,324
03003,1,1,341
03003,1,1,355
03003,1,1,341
03003,1,1,324
03003,1,1,272
03003,1,1,323
03003,1,1,340
03003,0,0,0
03003,1,1,359
03003,1,1,318
03003,1,1,307
03003,1,1,337
03003,1,1,341
