SubjectID,StimulusType,response,RT
03006,1,1,457
03006,1,1,491
03006,1,1,369
03006,1,1,320
03006,1,1,297
03006,1,1,203
03006,1,1,333
03006,1,1,237
03006,1,1,254
03006,1,1,386
03006,1,1,353
03006,1,1,321
03006,1,1,217
03006,1,1,304
03006,1,1,269
03006,1,1,340
03006,1,1,254
03006,1,1,238
03006,1,1,238
03006,1,1,254
03006,0,1,321
03006,1,1,419
03006,1,1,223
03006,1,1,382
03006,0,1,251
03006,1,1,453
03006,0,0,0
03006,1,1,337
03006,1,1,524
03006,1,1,400
03006,1,1,442
03006,1,1,370
03006,1,1,490
03006,1,1,381
03006,1,1,435
03006,0,0,0
03006,0,1,255
03006,0,0,0
03006,1,1,437
03006,0,0,0
03006,0,0,0
03006,1,1,405
03006,0,0,0
03006,1,1,385
03006,1,1,489
03006,1,1,370
03006,1,1,454
03006,1,1,403
03006,1,1,426
03006,1,1,373
03006,1,1,442
03006,0,0,0
03006,0,0,0
03006,1,1,405
03006,1,1,439
03006,1,1,453
03006,0,0,0
03006,1,1,406
03006,0,0,0
03006,1,1,408
03006,0,0,0
03006,1,1,471
03006,1,1,390
03006,0,0,0
03006,1,1,369
03006,1,1,357
03006,1,1,357
03006,1,1,402
03006,1,1,489
03006,1,1,411
03006,0,0,0
03006,1,1,439
03006,1,1,340
03006,1,1,335
03006,0,1,303
03006,0,0,0
03006,1,1,425
03006,1,1,627
03006,1,1,372
03006,1,1,440
03006,1,1,405
03006,1,1,749
03006,1,1,405
03006,1,1,521
03006,1,1,369
03006,0,0,0
03006,1,1,371
03006,1,1,417
03006,1,1,370
03006,1,1,368
03006,1,1,536
03006,1,1,359
03006,1,1,392
03006,1,1,387
03006,1,1,389
03006,1,1,372
03006,1,1,286
03006,1,1,352
03006,1,1,288
03006,0,0,0
