SubjectID,StimulusType,response,RT
08003,1,1,473
08003,1,1,421
08003,1,1,388
08003,1,1,371
08003,0,0,0
08003,0,0,0
08003,1,1,437
08003,0,0,0
08003,0,0,0
08003,1,1,421
08003,1,1,521
08003,0,0,0
08003,1,1,453
08003,1,1,490
08003,1,1,442
08003,1,1,455
08003,1,1,424
08003,1,1,334
08003,1,1,440
08003,1,1,390
08003,1,1,389
08003,1,1,421
08003,1,1,388
08003,1,1,356
08003,0,0,0
08003,1,1,437
08003,1,1,441
08003,1,1,437
08003,1,1,388
08003,1,1,388
08003,0,0,0
08003,1,1,506
08003,0,0,0
08003,1,1,388
08003,1,1,472
08003,1,1,472
08003,1,1,472
08003,1,1,490
08003,1,1,557
08003,1,1,455
08003,1,1,474
08003,1,1,524
08003,1,1,438
08003,1,1,438
08003,1,1,487
08003,0,0,0
08003,1,1,403
08003,1,1,470
08003,1,1,389
08003,1,1,389
08003,1,1,490
08003,1,1,387
08003,1,1,389
08003,1,1,438
08003,1,1,457
08003,1,1,337
08003,1,1,471
08003,1,1,438
08003,1,1,403
08003,1,1,403
08003,1,1,391
08003,1,1,421
08003,1,1,422
08003,1,1,388
08003,1,1,417
08003,1,1,407
08003,0,0,0
08003,1,1,540
08003,0,0,0
08003,1,1,438
08003,1,1,522
08003,1,1,421
08003,1,1,422
08003,0,0,0
08003,1,1,457
08003,1,1,457
08003,1,1,421
08003,0,0,0
08003,1,1,391
08003,1,1,424
08003,1,1,417
08003,1,1,421
08003,0,0,0
08003,0,0,0
08003,1,1,406
08003,0,0,0
08003,1,1,421
08003,1,1,439
08003,0,0,0
08003,1,1,474
08003,1,1,439
08003,0,0,0
08003,0,0,0
08003,1,1,455
08003,1,1,456
08003,0,0,0
08003,1,1,387
08003,1,1,523
08003,1,1,454
08003,1,1,440
