SubjectID,StimulusType,response,RT
04005,0,0,0
04005,1,1,527
04005,1,1,475
04005,0,0,0
04005,1,1,492
04005,1,1,509
04005,1,1,493
04005,1,1,646
04005,1,1,748
04005,1,1,544
04005,1,1,425
04005,1,1,374
04005,0,0,0
04005,1,1,390
04005,0,0,0
04005,1,1,493
04005,1,1,561
04005,0,0,0
04005,1,1,442
04005,1,1,476
04005,1,1,595
04005,1,1,391
04005,1,1,357
04005,0,0,0
04005,1,1,391
04005,1,1,425
04005,1,1,374
04005,1,1,408
04005,1,1,408
04005,0,0,0
04005,1,1,475
04005,1,1,425
04005,1,1,425
04005,1,1,340
04005,1,1,459
04005,1,1,493
04005,0,0,0
04005,1,1,425
04005,1,1,544
04005,1,1,645
04005,1,1,459
04005,0,0,0
04005,1,1,509
04005,1,1,560
04005,1,1,679
04005,1,1,629
04005,1,1,391
04005,1,1,765
04005,1,1,408
04005,1,1,374
04005,0,0,0
04005,1,1,408
04005,1,1,713
04005,0,0,0
04005,1,1,408
04005,1,1,391
04005,1,1,357
04005,1,1,493
04005,0,0,0
04005,0,0,0
04005,1,1,391
04005,1,1,408
04005,0,0,0
04005,0,0,0
04005,1,1,459
04005,1,1,714
04005,1,1,442
04005,1,1,646
04005,1,1,594
04005,1,1,458
04005,1,1,441
04005,1,1,374
04005,1,1,475
04005,1,1,339
04005,1,1,441
04005,1,1,340
04005,1,1,408
04005,1,1,340
04005,1,1,425
04005,1,1,374
04005,1,1,459
04005,0,0,0
04005,1,1,357
04005,1,1,425
04005,0,0,0
04005,1,1,509
04005,1,1,459
04005,1,1,594
04005,1,1,458
04005,1,1,696
04005,1,1,441
04005,1,1,407
04005,1,1,408
04005,1,1,492
04005,0,0,0
04005,0,0,0
04005,1,1,408
04005,1,1,408
04005,0,0,0
04005,1,1,357
