SubjectID,StimulusType,response,RT
09012,1,1,381
09012,1,1,313
09012,0,1,314
09012,1,1,249
09012,1,1,347
09012,1,1,300
09012,1,1,315
09012,1,1,331
09012,1,1,284
09012,1,1,315
09012,1,1,312
09012,1,1,316
09012,1,1,331
09012,0,0,0
09012,1,1,365
09012,1,1,263
09012,1,1,315
09012,1,1,330
09012,1,1,281
09012,1,1,361
09012,1,1,313
09012,1,1,297
09012,1,1,314
09012,1,1,296
09012,0,1,267
09012,1,1,313
09012,1,1,300
09012,1,1,330
09012,1,1,313
09012,0,0,0
09012,1,1,297
09012,1,1,316
09012,1,1,313
09012,1,1,299
09012,1,1,299
09012,1,1,366
09012,0,0,0
09012,1,1,379
09012,1,1,297
09012,1,1,282
09012,1,1,298
09012,1,1,313
09012,1,1,297
09012,0,0,0
09012,0,1,298
09012,1,1,346
09012,1,1,314
09012,1,1,329
09012,1,1,298
09012,1,1,299
09012,0,0,0
09012,1,1,380
09012,1,1,331
09012,0,0,0
09012,0,0,0
09012,1,1,363
09012,1,1,380
09012,1,1,331
09012,1,1,366
09012,0,0,0
09012,0,0,0
09012,1,1,447
09012,1,1,445
09012,1,1,365
09012,1,1,365
09012,0,0,0
09012,1,1,331
09012,1,1,429
09012,0,0,0
09012,1,1,315
09012,1,1,299
09012,1,1,280
09012,1,1,330
09012,1,1,315
09012,1,1,314
09012,1,1,298
09012,1,1,314
09012,0,0,0
09012,1,1,315
09012,1,1,331
09012,0,1,282
09012,1,1,348
09012,1,1,314
09012,1,1,331
09012,1,1,331
09012,0,0,0
09012,1,1,329
09012,1,1,296
09012,1,1,330
09012,0,0,0
09012,1,1,379
09012,1,1,314
09012,1,1,314
09012,1,1,313
09012,0,0,0
09012,1,1,411
09012,1,1,347
09012,1,1,332
09012,0,0,0
09012,1,1,181
