SubjectID,StimulusType,response,RT
08005,1,1,342
08005,1,1,304
08005,1,1,337
08005,0,0,0
08005,1,1,269
08005,1,1,354
08005,1,1,340
08005,0,1,305
08005,1,1,289
08005,1,1,354
08005,1,1,372
08005,1,1,286
08005,1,1,352
08005,0,0,0
08005,1,1,372
08005,1,1,287
08005,0,1,306
08005,1,1,286
08005,1,1,338
08005,1,1,322
08005,1,1,355
08005,1,1,388
08005,1,1,327
08005,1,1,321
08005,1,1,373
08005,1,1,319
08005,0,0,0
08005,0,1,287
08005,1,1,370
08005,1,1,340
08005,1,1,286
08005,0,1,272
08005,0,0,0
08005,1,1,338
08005,1,1,303
08005,1,1,290
08005,1,1,288
08005,1,1,354
08005,1,1,284
08005,1,1,303
08005,1,1,335
08005,1,1,353
08005,1,1,354
08005,1,1,287
08005,1,1,269
08005,1,1,273
08005,1,1,322
08005,1,1,289
08005,0,0,0
08005,0,0,0
08005,0,0,0
08005,1,1,407
08005,0,1,572
08005,1,1,422
08005,1,1,391
08005,0,0,0
08005,1,1,322
08005,1,1,373
08005,0,0,0
08005,1,1,370
08005,1,1,368
08005,1,1,318
08005,1,1,303
08005,1,1,319
08005,1,1,303
08005,1,1,320
08005,1,1,320
08005,1,1,318
08005,0,0,0
08005,1,1,336
08005,0,0,0
08005,1,1,352
08005,1,1,304
08005,1,1,302
08005,1,1,319
08005,1,1,321
08005,1,1,321
08005,0,0,0
08005,0,0,0
08005,1,1,337
08005,1,1,286
08005,1,1,303
08005,1,1,304
08005,1,1,254
08005,1,1,320
08005,1,1,320
08005,0,0,0
08005,1,1,322
08005,1,1,301
08005,1,1,271
08005,1,1,286
08005,1,1,336
08005,1,1,304
08005,1,1,288
08005,1,1,304
08005,1,1,292
08005,1,1,286
08005,1,1,305
08005,1,1,287
08005,0,1,253
