SubjectID,StimulusType,response,RT
01007,1,1,429
01007,1,1,294
01007,1,1,341
01007,1,1,324
01007,0,0,0
01007,1,1,340
01007,1,1,343
01007,1,1,326
01007,1,1,325
01007,0,0,0
01007,1,1,257
01007,1,1,361
01007,1,1,342
01007,1,1,310
01007,1,1,326
01007,1,1,291
01007,1,1,360
01007,0,0,0
01007,1,1,393
01007,0,0,0
01007,1,1,273
01007,1,1,395
01007,1,1,310
01007,1,1,341
01007,1,1,291
01007,1,1,324
01007,1,1,361
01007,1,1,308
01007,1,1,308
01007,1,1,327
01007,1,1,306
01007,0,1,311
01007,1,1,528
01007,1,1,309
01007,1,1,290
01007,0,0,0
01007,1,1,259
01007,1,1,409
01007,1,1,311
01007,1,1,308
01007,1,1,445
01007,0,0,0
01007,1,1,259
01007,1,1,310
01007,1,1,412
01007,1,1,278
01007,0,0,0
01007,1,1,356
01007,1,1,322
01007,1,1,345
01007,1,1,306
01007,1,1,324
01007,0,0,0
01007,0,0,0
01007,1,1,412
01007,1,1,426
01007,1,1,358
01007,1,1,475
01007,1,1,242
01007,1,1,375
01007,0,0,0
01007,1,1,274
01007,1,1,259
01007,1,1,361
01007,1,1,291
01007,1,1,292
01007,0,0,0
01007,1,1,327
01007,1,1,409
01007,0,1,276
01007,1,1,393
01007,0,0,0
01007,0,0,0
01007,1,1,393
01007,0,0,0
01007,1,1,312
01007,1,1,462
01007,1,1,480
01007,1,1,324
01007,1,1,379
01007,1,1,462
01007,0,0,0
01007,1,1,397
01007,1,1,392
01007,1,1,495
01007,1,1,340
01007,1,1,359
01007,1,1,324
01007,0,0,0
01007,1,1,373
01007,1,1,392
01007,1,1,359
01007,1,1,325
01007,1,1,358
01007,1,1,326
01007,1,1,363
01007,1,1,361
01007,0,0,0
01007,1,1,412
01007,0,0,0
