SubjectID,StimulusType,response,RT
09008,1,1,1015
09008,1,1,454
09008,0,0,0
09008,0,0,0
09008,0,0,0
09008,1,1,352
09008,1,1,334
09008,0,0,0
09008,1,1,333
09008,1,1,385
09008,0,0,0
09008,1,1,337
09008,1,1,350
09008,1,1,319
09008,1,1,363
09008,1,1,285
09008,1,1,351
09008,1,1,369
09008,1,1,402
09008,1,1,347
09008,1,1,404
09008,1,1,366
09008,1,1,367
09008,0,0,0
09008,1,1,319
09008,1,1,366
09008,1,1,383
09008,1,1,333
09008,1,1,354
09008,0,0,0
09008,1,1,299
09008,1,1,383
09008,1,1,321
09008,0,0,0
09008,1,1,366
09008,1,1,346
09008,0,0,0
09008,1,1,366
09008,1,1,351
09008,1,1,332
09008,1,1,317
09008,1,1,348
09008,1,1,331
09008,1,1,302
09008,1,1,332
09008,0,0,0
09008,1,1,420
09008,1,1,284
09008,0,0,0
09008,1,1,283
09008,1,1,298
09008,0,0,0
09008,1,1,272
09008,1,1,270
09008,1,1,300
09008,1,1,303
09008,0,0,0
09008,1,1,270
09008,1,1,315
09008,1,1,301
09008,1,1,284
09008,1,1,337
09008,1,1,267
09008,0,0,0
09008,1,1,352
09008,1,1,283
09008,1,1,316
09008,0,0,0
09008,1,1,268
09008,1,1,233
09008,1,1,320
09008,1,1,299
09008,0,0,0
09008,1,1,300
09008,1,1,285
09008,1,1,231
09008,1,1,233
09008,1,1,266
09008,0,0,0
09008,1,1,271
09008,1,1,301
09008,1,1,287
09008,1,1,284
09008,1,1,319
09008,1,1,249
09008,1,1,84
09008,1,1,284
09008,0,1,50
09008,1,1,416
09008,1,1,316
09008,1,1,301
09008,1,1,353
09008,0,0,0
09008,1,1,313
09008,0,0,0
09008,1,1,285
09008,1,1,353
09008,1,1,282
09008,1,1,302
09008,1,1,383
