SubjectID,StimulusType,response,RT
04002,1,1,469
04002,1,1,371
04002,1,1,321
04002,1,1,259
04002,0,0,0
04002,0,1,322
04002,1,1,418
04002,1,1,340
04002,1,1,306
04002,1,1,321
04002,1,1,307
04002,1,1,321
04002,1,1,305
04002,1,1,354
04002,1,1,290
04002,1,1,288
04002,1,1,274
04002,0,0,0
04002,1,1,292
04002,1,1,305
04002,1,1,322
04002,1,1,371
04002,1,1,338
04002,1,1,339
04002,1,1,372
04002,1,1,322
04002,0,0,0
04002,1,1,289
04002,1,1,276
04002,1,1,290
04002,1,1,273
04002,1,1,292
04002,0,0,0
04002,1,1,322
04002,0,0,0
04002,0,0,0
04002,0,0,0
04002,1,1,403
04002,1,1,372
04002,0,0,0
04002,1,1,353
04002,1,1,419
04002,0,0,0
04002,0,0,0
04002,1,1,387
04002,1,1,307
04002,1,1,322
04002,0,0,0
04002,1,1,370
04002,1,1,467
04002,1,1,355
04002,1,1,337
04002,1,1,340
04002,1,1,339
04002,1,1,370
04002,1,1,453
04002,0,0,0
04002,1,1,451
04002,1,1,306
04002,1,1,307
04002,1,1,386
04002,1,1,356
04002,1,1,306
04002,1,1,337
04002,0,0,0
04002,0,0,0
04002,1,1,387
04002,1,1,339
04002,1,1,370
04002,1,1,371
04002,1,1,305
04002,1,1,338
04002,1,1,340
04002,0,0,0
04002,1,1,320
04002,1,1,353
04002,0,1,453
04002,1,1,305
04002,1,1,340
04002,1,1,322
04002,0,0,0
04002,1,1,371
04002,1,1,295
04002,1,1,354
04002,1,1,306
04002,1,1,324
04002,1,1,339
04002,1,1,353
04002,1,1,356
04002,0,0,0
04002,1,1,370
04002,1,1,306
04002,1,1,324
04002,1,1,337
04002,1,1,355
04002,1,1,389
04002,1,1,322
04002,0,0,0
04002,1,1,338
04002,1,1,308
