SubjectID,StimulusType,response,RT
10002,1,1,353
10002,1,1,434
10002,1,1,321
10002,0,1,241
10002,0,0,0
10002,0,0,0
10002,1,1,290
10002,0,0,0
10002,1,1,433
10002,1,1,370
10002,1,1,306
10002,1,1,290
10002,0,0,0
10002,0,1,241
10002,1,1,354
10002,1,1,402
10002,1,1,354
10002,1,1,353
10002,1,1,370
10002,1,1,369
10002,1,1,272
10002,1,1,337
10002,0,0,0
10002,1,1,260
10002,1,1,354
10002,1,1,305
10002,1,1,306
10002,1,1,354
10002,1,1,322
10002,1,1,289
10002,1,1,274
10002,0,0,0
10002,1,1,353
10002,1,1,305
10002,1,1,305
10002,1,1,288
10002,0,0,0
10002,1,1,241
10002,1,1,306
10002,0,0,0
10002,1,1,273
10002,1,1,322
10002,1,1,370
10002,1,1,273
10002,1,1,370
10002,1,1,322
10002,1,1,306
10002,1,1,274
10002,0,0,0
10002,0,0,0
10002,0,0,0
10002,1,1,370
10002,1,1,305
10002,1,1,289
10002,1,1,321
10002,0,0,0
10002,1,1,353
10002,1,1,257
10002,0,0,0
10002,1,1,305
10002,1,1,242
10002,0,0,0
10002,0,0,0
10002,1,1,305
10002,1,1,290
10002,1,1,289
10002,1,1,290
10002,1,1,273
10002,0,0,0
10002,1,1,321
10002,1,1,257
10002,1,1,290
10002,1,1,272
10002,1,1,305
10002,1,1,226
10002,1,1,225
10002,1,1,273
10002,1,1,177
10002,0,0,0
10002,1,1,273
10002,1,1,240
10002,1,1,257
10002,1,1,176
10002,1,1,241
10002,1,1,273
10002,1,1,256
10002,1,1,241
10002,1,1,257
10002,1,1,320
10002,1,1,257
10002,1,1,320
10002,1,1,273
10002,1,1,289
10002,1,1,272
10002,1,1,257
10002,1,1,289
10002,1,1,242
10002,0,0,0
10002,1,1,258
10002,1,1,161
