SubjectID,StimulusType,response,RT
11004,1,1,404
11004,1,1,354
11004,0,0,0
11004,0,0,0
11004,1,1,483
11004,0,0,0
11004,1,0,0
11004,0,0,0
11004,0,0,0
11004,1,1,387
11004,1,1,369
11004,1,1,403
11004,1,1,384
11004,1,1,434
11004,1,1,418
11004,1,1,338
11004,1,1,323
11004,1,1,401
11004,1,1,371
11004,0,0,0
11004,1,0,0
11004,1,1,787
11004,1,1,372
11004,1,1,433
11004,1,1,354
11004,1,1,386
11004,1,1,400
11004,1,1,436
11004,0,1,416
11004,1,1,562
11004,1,1,368
11004,1,1,419
11004,0,0,0
11004,1,1,418
11004,0,1,372
11004,1,1,419
11004,1,1,369
11004,1,1,404
11004,1,1,369
11004,1,1,338
11004,1,1,339
11004,1,1,369
11004,1,1,354
11004,1,1,418
11004,1,1,353
11004,1,1,338
11004,1,1,352
11004,1,1,354
11004,1,1,387
11004,1,1,400
11004,1,1,403
11004,0,0,0
11004,0,0,0
11004,1,0,0
11004,1,1,531
11004,1,1,548
11004,1,1,563
11004,0,1,613
11004,1,1,483
11004,1,1,561
11004,1,1,755
11004,1,1,498
11004,1,1,758
11004,1,1,386
11004,0,1,370
11004,1,1,788
11004,1,1,803
11004,1,1,480
11004,1,1,387
11004,1,1,338
11004,1,1,289
11004,1,1,339
11004,0,0,0
11004,1,0,0
11004,1,1,530
11004,0,0,0
11004,1,0,0
11004,1,1,627
11004,1,1,400
11004,1,1,419
11004,1,1,401
11004,1,1,402
11004,1,1,404
11004,0,0,0
11004,1,0,0
11004,1,1,498
11004,1,1,355
11004,1,1,482
11004,0,1,436
11004,0,1,16
11004,1,0,0
11004,1,1,482
11004,1,1,419
11004,1,1,354
11004,1,1,707
11004,0,1,401
11004,1,1,16
11004,0,1,0
11004,1,0,0
11004,1,1,482
