SubjectID,StimulusType,response,RT
01001,1,1,668
01001,0,0,0
01001,1,1,389
01001,1,1,454
01001,1,1,362
01001,1,1,377
01001,1,1,376
01001,1,1,364
01001,0,0,0
01001,0,0,0
01001,1,1,383
01001,1,1,410
01001,1,1,378
01001,1,1,317
01001,1,1,311
01001,1,1,287
01001,1,1,322
01001,1,1,314
01001,0,0,0
01001,1,1,592
01001,1,1,391
01001,1,1,382
01001,1,1,407
01001,1,1,386
01001,1,1,391
01001,1,1,357
01001,1,1,357
01001,1,1,374
01001,1,1,424
01001,1,1,425
01001,1,1,391
01001,1,1,431
01001,1,1,400
01001,1,1,349
01001,1,1,397
01001,1,1,428
01001,1,1,378
01001,1,1,411
01001,1,1,429
01001,1,1,410
01001,0,0,0
01001,1,1,526
01001,1,1,430
01001,1,1,363
01001,0,0,0
01001,0,0,0
01001,1,1,460
01001,0,1,392
01001,0,0,0
01001,0,0,0
01001,1,1,477
01001,1,1,393
01001,0,0,0
01001,0,0,0
01001,1,1,426
01001,1,1,378
01001,1,1,354
01001,1,1,346
01001,1,1,415
01001,1,1,381
01001,1,1,340
01001,1,1,384
01001,0,0,0
01001,1,1,679
01001,1,1,394
01001,1,1,350
01001,1,1,414
01001,1,1,365
01001,1,1,399
01001,0,0,0
01001,0,0,0
01001,1,1,553
01001,0,0,0
01001,1,1,526
01001,1,1,425
01001,0,0,0
01001,1,1,619
01001,1,1,404
01001,1,1,374
01001,1,1,380
01001,1,1,362
01001,1,1,363
01001,1,1,412
01001,1,1,395
01001,1,1,378
01001,1,1,446
01001,0,0,0
01001,0,0,0
01001,1,1,678
01001,0,0,0
01001,1,1,595
01001,1,1,412
01001,1,1,314
01001,1,1,332
01001,1,1,346
01001,1,1,396
01001,1,1,410
01001,1,1,377
01001,1,1,346
01001,1,1,362
