SubjectID,StimulusType,response,RT
10007,0,0,0
10007,1,1,337
10007,1,1,285
10007,1,1,284
10007,1,1,249
10007,1,1,283
10007,0,1,249
10007,1,1,302
10007,1,1,315
10007,1,1,364
10007,1,1,282
10007,0,0,0
10007,1,1,350
10007,1,1,298
10007,1,1,316
10007,1,1,283
10007,1,1,282
10007,0,0,0
10007,0,0,0
10007,1,1,332
10007,1,1,320
10007,1,1,298
10007,1,1,299
10007,1,1,299
10007,1,1,298
10007,1,1,365
10007,1,1,319
10007,1,1,317
10007,0,0,0
10007,1,1,384
10007,0,0,0
10007,1,1,299
10007,1,1,281
10007,0,1,299
10007,1,1,303
10007,1,1,302
10007,1,1,283
10007,0,0,0
10007,1,1,332
10007,1,1,317
10007,1,1,300
10007,1,1,332
10007,1,1,367
10007,1,1,315
10007,1,1,316
10007,1,1,331
10007,1,1,349
10007,1,1,351
10007,0,0,0
10007,1,1,283
10007,1,1,299
10007,1,1,248
10007,1,1,266
10007,1,1,300
10007,1,1,248
10007,1,1,283
10007,1,1,267
10007,1,1,283
10007,1,1,285
10007,1,1,350
10007,1,1,265
10007,1,1,301
10007,1,1,298
10007,0,0,0
10007,1,1,267
10007,1,1,298
10007,1,1,233
10007,0,0,0
10007,1,1,299
10007,1,1,317
10007,0,1,251
10007,1,1,315
10007,0,0,0
10007,0,1,315
10007,1,1,316
10007,1,1,318
10007,1,1,350
10007,0,0,0
10007,1,1,331
10007,1,1,334
10007,1,1,301
10007,1,1,301
10007,1,1,298
10007,1,1,264
10007,1,1,282
10007,1,1,318
10007,1,1,264
10007,1,1,251
10007,1,1,318
10007,1,1,302
10007,0,0,0
10007,0,0,0
10007,1,1,402
10007,1,1,286
10007,1,1,316
10007,1,1,317
10007,1,1,305
10007,0,0,0
10007,0,0,0
10007,1,1,318
