SubjectID,StimulusType,response,RT
02003,1,1,621
02003,1,1,406
02003,1,1,403
02003,1,1,354
02003,1,1,337
02003,1,1,369
02003,1,1,340
02003,1,1,354
02003,1,1,356
02003,1,1,303
02003,0,0,0
02003,0,0,0
02003,1,1,356
02003,1,1,336
02003,0,0,0
02003,1,1,373
02003,1,1,355
02003,1,1,368
02003,1,1,352
02003,0,0,0
02003,0,0,0
02003,1,1,383
02003,0,0,0
02003,1,1,333
02003,1,1,367
02003,1,1,333
02003,1,1,351
02003,1,1,332
02003,1,1,316
02003,1,1,331
02003,1,1,333
02003,1,1,334
02003,1,1,351
02003,0,0,0
02003,1,1,315
02003,0,0,0
02003,0,0,0
02003,1,1,318
02003,1,1,333
02003,1,1,337
02003,1,1,350
02003,1,1,352
02003,1,1,385
02003,1,1,299
02003,1,1,332
02003,1,1,284
02003,0,0,0
02003,1,1,314
02003,1,1,301
02003,0,0,0
02003,1,1,319
02003,0,0,0
02003,1,1,334
02003,1,1,333
02003,1,1,332
02003,0,0,0
02003,1,1,335
02003,1,1,298
02003,1,1,303
02003,1,1,346
02003,1,1,348
02003,1,1,351
02003,1,1,315
02003,1,1,317
02003,1,1,285
02003,1,1,300
02003,1,1,302
02003,1,1,317
02003,0,1,283
02003,0,0,0
02003,1,1,364
02003,1,1,369
02003,1,1,333
02003,1,1,368
02003,1,1,365
02003,1,1,367
02003,0,0,0
02003,1,1,368
02003,1,1,351
02003,0,0,0
02003,1,1,366
02003,1,1,349
02003,0,0,0
02003,1,1,366
02003,1,1,351
02003,1,1,365
02003,1,1,348
02003,1,1,350
02003,0,0,0
02003,1,1,348
02003,1,1,400
02003,1,1,333
02003,0,0,0
02003,1,1,366
02003,1,1,383
02003,1,1,366
02003,1,1,383
02003,1,1,366
02003,1,1,366
02003,1,1,399
